smiles,logS0,random,diversity
CC(C)C(=O)C(C)C,-1.3,0,1
CC(C)C(C)(C)O,-0.41,1,2
CC(C)C(O)C(C)C,-1.13725,0,1
CC(C)C1(C(C)C)C(=O)NC(=O)NC1=O,-2.766,0,1
CC(C)C1(CC=C(C)C)C(=O)NC(=O)NC1=O,-2.593,1,2
CC(C)C1(CC=C)C(=O)NC(=O)NC1=O,-1.71,1,2
CC(C)C1C(=O)NC(=O)NC1=O,-1.456,1,2
CC(C)CC(C)(C)O,-0.92,0,1
CC(C)CC(C)=O,-0.966666667,0,1
CC(C)CC1(CC=C)C(=O)NC(=O)NC1=O,-2.119,0,1
CC(C)CCC(C)=O,-1.33,1,2
CC(C)CCCO,-1.14,0,1
CC(C)CCO,-0.513333333,0,0
CC(C)CCOC(C)=O,-1.92,0,1
CC(C)CCOC=O,-1.52,0,1
CC(C)CC[C@@H](C)O,-1.38,0,1
CC(C)CNC(=O)N1CCNC1=O,-2.15,0,1
CC(C)COC(=O)C=C,-1.21,0,1
CC(C)COC(C)=O,-1.22,0,1
CC(C)COC=O,-1.01,0,1
CC(C)C[C@@H](C)O,-0.79625,0,1
CC(C)C[C@H](C)CO,-1.6,0,1
CC(C)C[C@H](N)C(O)=O,-0.75,0,1
CC(C)Cc1ccc(cc1)[C@@H](C)C(O)=O,-3.595,1,2
CC(C)Cn1c(C)nc2n(C)c(=O)n(C)c(=O)c12,-1.599,0,0
CC(C)Cn1cnc2n(C)c(=O)n(C)c(=O)c12,-0.942,0,0
CC(C)N(C(=O)CCl)c1ccccc1,-2.48,0,1
CC(C)N(CC[C@@](C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,-3.1,0,1
CC(C)N(CC[C@H](c1ccccc1)c1cc(C)ccc1O)C(C)C,-2.58,0,1
CC(C)NC(=O)N1CC(=O)N(C1=O)c1cc(Cl)cc(Cl)c1,-4.405,0,1
CC(C)NC[C@H](O)COc1ccc(CC(N)=O)cc1,-1.3,1,2
CC(C)NC[C@H](O)COc1ccc(COCCOC(C)C)cc1,-1.93,0,1
CC(C)NC[C@H](O)COc1cccc2[nH]ccc12,-3.88,0,1
CC(C)NC[C@H](O)COc1cccc2ccccc12,-3.7075,0,1
CC(C)NC[C@H](O)COc1ccccc1CC=C,-2.82,0,1
CC(C)NC[C@H]1CCc2cc(CO)c(cc2N1)[N+]([O-])=O,-2.965,0,1
CC(C)Nc1cccnc1N1CCN(CC1)C(=O)c1cc2cc(NS(C)(=O)=O)ccc2[nH]1,-5.74,0,1
CC(C)OC(=O)C(C)(C)Oc1ccc(cc1)C(=O)c1ccc(Cl)cc1,-5.712,0,1
CC(C)OC(C)=O,-0.563,0,1
CC(C)OC(C)C,-1.1,0,1
CC(C)OC=O,-0.63,1,2
CC(C)SC(C)C,-2.24,0,1
CC(C)[C@@H](C)O,-0.186666667,0,1
CC(C)[C@@H]1CC[C@@H](C)CC1=O,-2.396666667,0,1
CC(C)[C@H](C)CO,-0.39,0,1
CC(C)[C@H]1CC[C@H](C)C[C@@H]1O,-2.53,0,1
CC(C)[N+]([O-])=O,-0.62,0,1
CC(C)\N=c1/cc2n(-c3ccc(Cl)cc3)c3ccccc3nc2cc1Nc1ccc(Cl)cc1,-5.8,0,1
CC(C)c1ccc(C)c(O)c1,-2.08,0,1
CC(C)c1ccc(C)cc1O,-2.186,0,1
CC(C)c1ccc(NC(=O)N(C)C)cc1,-3.469,0,1
CC(C)c1nc(nc(-c2ccc(F)cc2)c1\C=C\[C@@H](O)C[C@@H](O)CC(O)=O)N(C)S(C)(=O)=O,-2.48,1,2
CC(C)n1c(\C=C\[C@H](O)C[C@H](O)CC(O)=O)c(-c2ccc(F)cc2)c2ccccc12,-3.83,0,1
CC1(C(=O)NC(=O)NC1=O)c1ccccc1,-2.38,1,2
CC1(C)C(=O)NC(=O)NC1=O,-1.742,0,1
CC1(C)CON(Cc2ccccc2Cl)C1=O,-2.338,0,1
CC1(C)N(Cl)C(=O)N(Cl)C1=O,-2.6,0,1
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(O)=O,-2.031,0,1
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(O)=O,-1.539,0,0
CC1(C)[C@@H]2CC[C@@](C)(C2)C1=O,-1.85,0,1
CC1(C)[C@H]2CC[C@]1(C)C(=O)C2,-2.086,0,1
CC1(C)[C@H]2CC[C@]1(C)[C@H](O)C2,-2.32,1,2
CC1(CC=C)C(=O)NC(=O)NC1=O,-1.16,1,2
CC1=C(C(=O)Nc2ccccc2)S(=O)(=O)CCO1,-2.3555,0,1
CC1=C(CC(O)=O)c2cc(F)ccc2\C1=C/c1ccc(cc1)[S@](C)=O,-4.78,0,1
CC1=C(CCCO1)C(=O)Nc1ccccc1,-2.56,0,1
CC1=C(N2[C@H](SC1)[C@H](NC(=O)[C@H](N)C1=CCC=CC1)C2=O)C(O)=O,-1.215,0,1
CC1=CC(=O)CC(C)(C)C1,-1.06,0,1
CC1=NS(=O)(=O)c2cc(Cl)ccc2N1,-3.481,0,1
CC1C(=O)NC(=O)NC1=O,-1.126,0,1
CCC(=O)Nc1ccccc1,-1.92,0,0
CCC(=O)OC,-0.14,0,1
